logged_at,ticker,direction,horizon_d,benchmark,thesis,status,entry_date,entry,excess_pct,pattern_tag,notified
2026-08-10T11:39:51+00:00,TTD,short,21,IGV,"The Trade Desk Q2 (rpt 8/6): rev +3pct YoY to $715M (miss $751M est), adj EPS 0.34 vs 0.40; Q3 guide ONLY $650M vs ~$803M est = ~19pct below AND a sequential DECLINE (a growth co guiding down QoQ). CFO, CMO AND commercial chief all replaced same day; CEO admitted 'didn't execute'; multiple downgrades. Broken-growth + management turmoil, NOT a 4-cent-miss overreaction — the guide-down is real so the drift reads DOWN, not a buyable dip. Short vs IGV 21d (fast sleeve). Conviction MEDIUM. Risk: already -28pct gapped so a dead-cat bounce is the main threat; TTD is large-cap heavily covered so the deceleration may be fully priced.",open,,,,guidance-cut-continuation-short,
2026-08-11T11:44:47+00:00,IT,long,63,XLK,"Gartner Q2 (rpt 8/4): beat-and-raise — rev 1.68B, adj EPS 4.37, adj op margin 25pct (+5.6pp YoY), FCF 378M, RAISED FY EBITDA/EPS/FCF guide + accelerated buybacks. The market spent the past year pricing IT for AI-driven research-subscription decline (multiple compressed on the disruption fear); Q2 showed the opposite — margin expansion + guide raise = the bear narrative is not showing in the numbers. Edge is the durable AI-fear-unwind RE-RATING (multiple expansion), a reading call a momentum screen misses. Risk: already +27pct/5d, so the initial pop is spent and near-term is chase-prone; medium conviction. No earnings inside 63d window.",open,,,,narrative-stage-transition,
2026-08-12T11:40:59+00:00,CACI,long,63,ITA,"CACI fiscal Q4 (rpt 8/5): EPS 8.91 vs 7.32 (+1.59 beat) + FY27 guide EPS 32.96-33.86 vs 28.16 cons (~+17%), rev 10.65-10.85B vs 9.55B, funded backlog +29%, FCF/share +68%. Guidance this far above Street forces multi-week estimate revisions = post-earnings drift on a defense-IT compounder (not a meme). Risk: extended, already +27%/5d (67 by 8/11); DoD budget/CR headline risk.",open,,,,post-earnings-drift,
2026-08-12T11:40:59+00:00,CRL,long,21,XLV,"Charles River Q2 (rpt 8/5): EPS 3.02 vs 2.74 beat + RAISED FY to 11.15-11.45 (from 10.80-11.30); FIRST organic growth since Q3'23 (+0.1%) and DSA net book-to-bill at a 4-yr high = CRO demand inflection off a 2-yr trough. Fast 21d momentum-continuation on the turn as estimates revise up. Risk: extended (+20%/5d, 52wk high, rich vs intrinsic); biotech-funding sensitivity.",open,,,,narrative-stage-transition,
2026-08-13T11:40:55+00:00,ABNB,long,63,XLY,"Airbnb Q2 (rpt 8/6): clean beat — adj EPS 1.37 vs 1.26, rev 3.61B vs 3.58B (+17pct YoY), GBV +16pct to 27.2B, nights +10pct — plus RAISED FY guide to mid-teens rev growth and >=35.5pct EBITDA margin. Beat-and-raise that forces upward estimate revisions = post-earnings drift on a covered mega-cap. Conviction medium. Risk: already +18pct/5d and extended into the print; consumer/travel-demand softening; no event inside window.",open,,,,post-earnings-drift,
2026-08-13T11:40:55+00:00,TWLO,long,21,IGV,"Twilio Q2 (rpt 8/6): record rev 1.5B + adj EPS 1.47 beat + RAISED FY organic growth to 18pct + Q3 guide (EPS 1.42-1.47, rev 1.51-1.52B) above Street; growth RE-ACCELERATION with a revamped AI customer-engagement platform drove a re-rating cluster — Stifel upgrade to Buy PT 260, Mizuho/TD Cowen/BTIG/Citizens PT raises. Large-cap liquid (tail label only). Fast 21d momentum-continuation on the turn. Conviction medium. Risk: +27pct/5d, gap already large; software multiple sensitivity, AI-narrative crowding.",open,,,,post-earnings-drift,
2026-08-14T12:06:29+00:00,TPR,long,21,XRT,"Tapestry Q2 CY26 (rpt 8/13): beat — rev +8.9% to $1.88B (in-line), non-GAAP EPS $1.32 vs $1.28 (+3.4%); stock -15% on FY27 rev guide $8.4-8.5B only marginally below $8.47B cons + Kate Spade net sales -10% + tariff/duty cost noise. Read: punishment outsized vs a marginal guide trim on a beat; Coach franchise strong. Fast sleeve. Risk: Kate Spade weakness + tariff drag are real, not pure sentiment; luxury-discretionary macro.",open,,,,guidance-cut-overreaction,
2026-08-14T12:06:29+00:00,TNDM,long,63,XLV,"Tandem Diabetes Q2 (rpt 8/6): rev +5.8% to $254.6M (in-line) but PROFITABILITY INFLECTION — op margin -21.5%->-5.4% YoY, adj EBITDA $6.42M vs $3.52M cons; PayGo pharmacy model ~10% of US shipments + 45% formulary coverage = shift to higher-visibility recurring rev. Reaffirmed FY outlook + Mobi momentum. Read: margin-inflection re-rating (named mechanism), not a bare beat; drift entry ~1wk post-print. Tail name — size for friction. Risk: still GAAP-unprofitable, competitive pump market (Insulet/MDT).",open,,,,post-earnings-drift,
2026-08-17T11:42:50+00:00,CAVA,long,21,XLY,"Q2 (rpt 8/11): beat EPS 0.19 vs 0.18 + 9pct SSS (strongest among restaurants reporting this season) + adj EBITDA 54.7M beat; recovering from an overdone Cyclospora food-safety scare that had pinned it below every MA into the print. Washed-out chart re-rating, drift already live 60.81->74.42 (+22pct over 2 post-gap sessions). Fast sleeve. Risk: already popped hard (chase/exhaustion), food-safety overhang could recur. conviction medium",open,,,,post-earnings-drift,
2026-08-17T11:42:51+00:00,HRB,long,63,SPY,"Q4 (rpt ~8/12): rev 1.14B +3pct beat, adj EPS 2.38 beat; FY27 adj EPS guide 6.04-6.24 = +4.8pct above consensus mid + 10pct dividend raise (9th straight yr) + active buyback. Multi-pronged beat-and-raise. Risk: low-growth seasonal tax name, drift may be muted. conviction medium",open,,,,post-earnings-drift,
2026-08-19T11:38:34+00:00,HAE,long,21,XLV,"Haemonetics fiscal Q1 (rpt ~8/12, gapped 8/18): adj EPS 1.14 vs 0.87 (+31pct beat), rev 339.4M vs 327.9M; gaining Plasma share, Blood Mgmt momentum, Interventional back to growth (all 3 segments up) + NEW CSL Plasma supply agreement announced 8/18 + analyst PT hikes. Under-covered ~5B midcap medtech, vol 3.0x confirms institutional repricing. THESIS: post-earnings-drift underreaction to a broad quality beat plus a fresh structural commercial catalyst still being digested. Fast sleeve 21d. RISK: already +20pct 5d and GF Value flags overvaluation -> a pop-fade/mean-reversion of the gap is the kill.",open,,,,post-earnings-drift,
2026-08-20T11:45:10+00:00,EL,long,21,XLP,"Estee Lauder fQ4 (rpt 8/19): beat — adj EPS 0.39 vs 0.32, rev +6pct to 3.6B, organic +5pct (4th straight organic-growth qtr); RAISED FY27 adj op-margin outlook, FY27 EPS 3.10-3.35 (~in-line-to-above 3.18 cons); Le Labo/Tom Ford luxury fragrance +10pct. Turnaround inflection on a multi-year washed-out name; 5.9x volume = institutional repositioning. Fast 21d post-earnings drift. Risk: FY27 EPS midpoint only ~in-line and turnaround multi-quarter; extended after +12pct pop.",open,,,,post-earnings-drift,
2026-08-20T11:45:10+00:00,MRK,long,63,XLV,"Merck: melanoma Phase 3 win — intismeran autogene (Moderna mRNA) + Keytruda met primary RFS endpoint + secondary DMFS in high-risk melanoma (8/18); first positive P3 for personalized mRNA cancer therapy. Analyst PT hikes (Daiwa->Outperform PT 143, JPM 150). De-risks the Keytruda patent-cliff narrative + validates a pipeline extender. +14.5pct 5d on 3.7x vol. Durable franchise re-rating, 63d. Risk: mega-cap arbitraged, adjuvant-melanoma revenue modest vs MRK size; readout already popped.",open,,,,analyst-rerating,
